CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.000.000/0001-91;2026-12-31;1;158239;BCO BRASIL S.A.;352417;Capital Emitido;2023-04-27;120000000000.00;;5730834040;0;5730834040
00.000.000/0001-91;2026-12-31;1;158239;BCO BRASIL S.A.;352418;Capital Subscrito;2023-04-27;120000000000.00;;5730834040;0;5730834040
00.000.000/0001-91;2026-12-31;1;158239;BCO BRASIL S.A.;352419;Capital Integralizado;2023-04-27;120000000000.00;;5730834040;0;5730834040
00.000.000/0001-91;2026-12-31;1;158239;BCO BRASIL S.A.;352420;Capital Autorizado;2026-04-29;150000000000.00;;0;0;0
00.001.180/0001-26;2026-12-31;1;158151;AXIA ENERGIA S.A.;352203;Capital Emitido;2025-12-08;100135201429.75;Não Aplicável;2028544286;886884431;2915428717
00.001.180/0001-26;2026-12-31;1;158151;AXIA ENERGIA S.A.;352204;Capital Subscrito;2025-12-19;100135201429.75;Não aplicável.;2028544286;886884431;2915428717
00.001.180/0001-26;2026-12-31;1;158151;AXIA ENERGIA S.A.;352205;Capital Integralizado;2025-12-19;100135201429.75;Não aplicável.;2028544286;886884431;2915428717
00.001.180/0001-26;2026-12-31;1;158151;AXIA ENERGIA S.A.;352206;Capital Autorizado;2025-12-19;29864798570.25;;0;0;0
00.070.698/0001-11;2026-12-31;1;158323;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;352590;Capital Integralizado;2021-10-14;566025355.62;;35920890;36161025;72081915
00.080.671/0001-00;2026-12-31;1;158227;CARAMURU ALIMENTOS S.A.;352398;Capital Emitido;2026-04-28;2533230215.64;Não aplicável;24444000;0;24444000
00.080.671/0001-00;2026-12-31;1;158227;CARAMURU ALIMENTOS S.A.;352399;Capital Subscrito;2026-04-28;2533230215.64;Não aplicável;24444000;0;24444000
00.080.671/0001-00;2026-12-31;1;158227;CARAMURU ALIMENTOS S.A.;352400;Capital Integralizado;2026-04-28;2533230215.64;Não aplicável;24444000;0;24444000
00.194.724/0001-13;2026-12-31;1;158464;AUREN OPERAÇÕES S.A.;352952;Capital Autorizado;2021-05-13;4600000000.00;;0;0;0
00.194.724/0001-13;2026-12-31;1;158464;AUREN OPERAÇÕES S.A.;352953;Capital Emitido;2026-03-30;3083775052.66;;2992234499;0;2992234499
00.194.724/0001-13;2026-12-31;1;158464;AUREN OPERAÇÕES S.A.;352954;Capital Subscrito;2026-03-30;3083775052.66;;2992234499;0;2992234499
00.194.724/0001-13;2026-12-31;1;158464;AUREN OPERAÇÕES S.A.;352955;Capital Integralizado;2026-03-30;3083775052.66;;2992234499;0;2992234499
00.336.701/0001-04;2026-12-31;1;158134;TELEC BRASILEIRAS S.A. TELEBRAS;352186;Capital Integralizado;2025-09-25;3719535704.96;;83575912;18407491;101983403
00.336.701/0001-04;2026-12-31;1;158134;TELEC BRASILEIRAS S.A. TELEBRAS;352187;Capital Subscrito;2025-09-25;3719535704.96;;83575912;18407491;101983403
00.357.038/0001-16;2026-12-31;1;158152;AXIA ENERGIA NORTE S.A.;352207;Capital Emitido;2023-10-31;20336183860.17;Não Aplicável;168044751;0;168044751
00.357.038/0001-16;2026-12-31;1;158152;AXIA ENERGIA NORTE S.A.;352208;Capital Subscrito;2023-10-31;20336183860.17;Não Aplicável;168044751;0;168044751
00.357.038/0001-16;2026-12-31;1;158152;AXIA ENERGIA NORTE S.A.;352209;Capital Integralizado;2023-10-31;20336183860.17;Não Aplicável;168044751;0;168044751
00.383.281/0001-09;2026-12-31;1;158097;BNDES PARTICIPACOES S.A. - BNDESPAR;352070;Capital Autorizado;2018-06-29;100000000000.00;;0;0;0
00.383.281/0001-09;2026-12-31;1;158097;BNDES PARTICIPACOES S.A. - BNDESPAR;352071;Capital Emitido;2025-05-28;46998318477.17;;1000000;0;1000000
00.383.281/0001-09;2026-12-31;1;158097;BNDES PARTICIPACOES S.A. - BNDESPAR;352072;Capital Subscrito;2025-05-28;46998318477.17;;1000000;0;1000000
00.383.281/0001-09;2026-12-31;1;158097;BNDES PARTICIPACOES S.A. - BNDESPAR;352073;Capital Integralizado;2025-05-28;46998318477.17;;1000000;0;1000000
00.644.907/0001-93;2026-12-31;1;158101;INVESTCO S.A.;352085;Capital Subscrito;2009-04-07;961793701.46;;402202308;384203962;786406270
00.644.907/0001-93;2026-12-31;1;158101;INVESTCO S.A.;352086;Capital Integralizado;2009-04-07;961793701.46;;402202308;384203962;786406270
00.644.907/0001-93;2026-12-31;1;158101;INVESTCO S.A.;352087;Capital Emitido;2009-04-07;961793701.46;;402202308;384203962;786406270
00.743.065/0001-27;2026-12-31;1;156808;LITEL PARTICIPACOES S.A.;350197;Capital Emitido;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2026-12-31;1;156808;LITEL PARTICIPACOES S.A.;350198;Capital Subscrito;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2026-12-31;1;156808;LITEL PARTICIPACOES S.A.;350199;Capital Integralizado;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2026-12-31;1;156808;LITEL PARTICIPACOES S.A.;350200;Capital Autorizado;1995-07-27;0.00;;600000000;0;600000000
00.776.574/0001-56;2026-12-31;1;158617;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;353358;Capital Emitido;2026-05-13;39918282260.10;13/05/2026;200245278;0;200245278
00.776.574/0001-56;2026-12-31;1;158617;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;353359;Capital Subscrito;2026-05-13;39918282260.10;13/05/2026;200245278;0;200245278
00.776.574/0001-56;2026-12-31;1;158617;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;353360;Capital Integralizado;2026-05-13;39918282260.10;13/05/2026;200245278;0;200245278
00.776.574/0001-56;2026-12-31;1;158617;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;353361;Capital Autorizado;2024-05-21;0.00;21/05/2024;435084497;0;435084497
00.864.214/0001-06;2026-12-31;1;158483;ENERGISA S.A.;353017;Capital Autorizado;2026-04-29;0.00;N/A;1200000000;2400000000;3600000000
00.864.214/0001-06;2026-12-31;1;158483;ENERGISA S.A.;353018;Capital Emitido;2025-11-19;10876550480.12;N/A;975954372;1542412758;2518367130
00.864.214/0001-06;2026-12-31;1;158483;ENERGISA S.A.;353019;Capital Subscrito;2025-11-19;10876550480.12;N/A;975954372;1542412758;2518367130
00.864.214/0001-06;2026-12-31;1;158483;ENERGISA S.A.;353020;Capital Integralizado;2025-11-19;10876550480.12;N/A;975954372;1542412758;2518367130
00.873.894/0001-24;2026-12-31;1;158224;LETS RENT A CAR S/A;352391;Capital Emitido;2023-09-30;578986461.00;N/A;578986461;0;578986461
00.873.894/0001-24;2026-12-31;1;158224;LETS RENT A CAR S/A;352392;Capital Subscrito;2023-09-30;578986461.00;N/A;578986461;0;578986461
00.873.894/0001-24;2026-12-31;1;158224;LETS RENT A CAR S/A;352393;Capital Integralizado;2023-09-30;578986461.00;N/A;578986461;0;578986461
00.897.864/0001-58;2026-12-31;1;157971;SANTA CATARINA PART INVEST SA;351866;Capital Autorizado;1995-11-13;200000000.00;;200000;0;200000
00.938.574/0001-05;2026-12-31;1;158347;CONC RIO-TERESOPOLIS S.A.;352667;Capital Subscrito;2026-04-30;57899999.89;;48786;37680;86466
00.938.574/0001-05;2026-12-31;1;158347;CONC RIO-TERESOPOLIS S.A.;352668;Capital Integralizado;2026-04-30;57899999.89;;48786;37680;86466
00.979.969/0001-56;2026-12-31;1;156398;CAIXA ADM DIV PUB ESTADUAL SA;349381;Capital Subscrito;2025-04-16;1210200000.00;;4069715169;0;4069715169
00.979.969/0001-56;2026-12-31;1;156398;CAIXA ADM DIV PUB ESTADUAL SA;349382;Capital Integralizado;2025-04-16;1210200000.00;;4069715169;0;4069715169
01.027.058/0001-91;2026-12-31;1;158334;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;352636;Capital Emitido;2024-11-12;5700000000.00;;2668174120;0;2668174120
01.027.058/0001-91;2026-12-31;1;158334;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;352637;Capital Subscrito;2024-11-12;5700000000.00;;2668174120;0;2668174120
01.027.058/0001-91;2026-12-31;1;158334;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;352638;Capital Integralizado;2024-11-12;5700000000.00;;2668174120;0;2668174120
01.027.058/0001-91;2026-12-31;1;158334;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;352639;Capital Autorizado;2011-04-29;263834773.86;;2400000000;0;2400000000
